objectid	globalid	reporting_date	total_case_daily_change	total_case_cumulative	deaths_daily_change	deaths_cumulative	strac_covid_positive_in_hospita	strac_covid_positive_in_icu	strac_covid_positive_on_ventila	strac_total_ventilators	strac_available_ventilators	strac_total_staffed_beds	strac_available_staffed_beds	count_7_day_moving_avg	change_in_7_day_moving_avg	deaths_under_investigation
37	ebea1936-07b9-4cd8-aeae-8be989c4dbaf	2020-03-19T05:00:00Z	3	25		0								3	3	
38	c291d334-66d1-40c5-9eee-5c68c26ce010	2020-03-20T05:00:00Z	7	32		0								5	2	
39	a988283b-40fb-40bc-b30b-d3961e351dd5	2020-03-21T05:00:00Z	10	42		0								6.666666667	1.666666667	
40	c04c9287-91d8-4188-922b-09e60e1e6001	2020-03-22T05:00:00Z	6	48	1	1	15							6.5	-0.166666667	
41	c3b0748c-835f-41c0-b9ed-518eb07d1f11	2020-03-23T05:00:00Z	12	60	0	1	19							7.6	1.1	
42	0c3f6cf3-eeb9-452c-926b-58bdf33b8011	2020-03-24T05:00:00Z	12	72	1	2	28							8.333333333	0.733333333	
43	664f1b34-0430-4a95-82d9-c6fb357b9d42	2020-03-25T05:00:00Z	13	85	0	2	31							9	0.666666667	
44	d6811c8c-7ebb-4909-ab57-406dc0621645	2020-03-26T05:00:00Z	29	114	0	2	38							12.71428571	3.714285714	
45	6979aaf7-e783-4347-9b0b-2eba1e48cd5d	2020-03-27T05:00:00Z	8	122	0	2	44							12.85714286	0.142857143	
46	2752044d-302a-4741-91d3-6a680905ac59	2020-03-28T05:00:00Z	18	140	3	5	52							14	1.142857143	
47	7a6d27a1-e679-4474-b842-07a48afe78db	2020-03-29T05:00:00Z	17	157	0	5	53							15.57142857	1.571428571	
48	f5b62c32-29c2-4ebc-af44-42a2fb6db6ae	2020-03-30T05:00:00Z	13	170	1	6	60							15.71428571	0.142857143	
49	04e5e5e5-7acd-403d-8fd0-a435a179b862	2020-03-31T05:00:00Z	36	206	1	6	69							19.14285714	3.428571429	
50	82b93aae-be14-4075-9b5e-5ea5f511008a	2020-04-01T05:00:00Z	23	229	1	9	72	31	26	726	566	4580	1480	20.57142857	1.428571429	
51	9f051745-bdd0-45ca-baac-3d447a86f245	2020-04-02T05:00:00Z	25	254	0	9	67	32	27	707	532	4567	1969	20	-0.571428571	
52	a4a103a0-58b0-40cc-b9cd-43f06f4cb459	2020-04-03T05:00:00Z	88	342	0	9	75	37	28	720	546	4601	2172	31.42857143	11.42857143	
53	03bcd590-d858-45c2-b43d-ce6d63a418aa	2020-04-04T05:00:00Z	42	384	2	11	80	43	34	766	606	4803	2310	34.85714286	3.428571429	
54	a5a7b28c-a4f9-446d-9530-575877bb88e4	2020-04-05T05:00:00Z	26	410	1	12	79	47	28	725	579	4752	1953	36.14285714	1.285714286	
55	77a5f4b0-1049-40e8-a135-f3fb921b60eb	2020-04-06T05:00:00Z	46	456	1	13	91	52	35	728	516	4807	2050	40.85714286	4.714285714	
56	ad85c14c-c53a-419e-bf50-c5fc1feab963	2020-04-07T05:00:00Z	47	503	0	13	88	51	40	725	498	4799	1843	42.42857143	1.571428571	
57	9ac6518f-8525-4a66-98d0-ebfacd8ad63d	2020-04-08T05:00:00Z	51	554	7	20	84	50	41	702	509	4838	2067	46.42857143	4	
